,numDots,subdomainLevel,pathLevel,urlLength,numDash,numDashHostname,atSymbol,tildeSymbol,numUnderscore,numPercent,numQueryComponents,numApersand,numHash,numNumericChars,noHttps,ipAddress,domainInSubdomains,domainInPaths,httpsInHostname,hostNameLength,pathLength,queryLength,doubleSlash,type
44,1.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,14.0,15.0,0.0,0.0,0.0
45,1.0,1.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,26.0,27.0,0.0,0.0,0.0
46,1.0,1.0,3.0,82.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,False,14.0,61.0,0.0,1.0,1.0
47,1.0,1.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,9.0,29.0,0.0,0.0,0.0
48,2.0,1.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,13.0,31.0,0.0,0.0,0.0
49,2.0,1.0,3.0,129.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0,27.0,1.0,False,0.0,0.0,,13.0,28.0,80.0,1.0,0.0
50,4.0,3.0,4.0,100.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,0.0,0.0,,16.0,77.0,0.0,1.0,1.0
51,2.0,2.0,3.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,23.0,19.0,0.0,1.0,1.0
52,2.0,2.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,17.0,31.0,0.0,0.0,0.0
53,2.0,2.0,3.0,46.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,16.0,46.0,0.0,0.0,0.0
54,1.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,6.0,7.0,0.0,0.0,0.0
55,3.0,2.0,6.0,91.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,1.0,False,0.0,0.0,,27.0,91.0,0.0,0.0,0.0
56,1.0,1.0,6.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,False,0.0,0.0,,12.0,43.0,0.0,0.0,0.0
